pygeostat_saved_data
3
Estimate
EstimationVariance
Back Transform
-2.066591 0.874920 0.000000
-1.114828 0.861950 0.000000
-1.072286 0.850989 0.000000
-0.629304 0.834095 0.190426
-0.869054 0.807273 0.000000
-0.812033 0.766504 0.000000
-0.696338 0.708940 0.000000
-1.651358 0.634288 0.000000
-0.975903 0.589767 0.000000
-0.915775 0.674496 0.000000
-0.962584 0.742593 0.000000
-1.298731 0.788293 0.000000
-1.482354 0.809759 0.000000
-1.639435 0.799491 0.000000
-0.976216 0.762467 0.000000
-1.976678 0.699308 0.000000
-0.991337 0.619455 0.000000
-0.976797 0.753051 0.000000
-1.041795 0.850950 0.000000
-0.930150 0.912929 0.000000
-0.639896 0.942489 0.185542
-0.510177 0.913406 0.247354
-0.469455 0.847392 0.271854
-0.440185 0.753084 0.285399
-0.419898 0.624465 0.292871
-0.429074 0.708999 0.289805
-0.427277 0.774114 0.290409
-0.427203 0.818941 0.290428
-0.465786 0.827523 0.272868
-0.530637 0.801043 0.237410
-0.647723 0.745639 0.181252
-2.630477 0.669052 0.000000
-0.904800 0.576220 0.000000
-1.943716 0.659050 0.000000
-0.981112 0.731632 0.000000
-1.746321 0.782309 0.000000
-1.722261 0.796815 0.000000
-1.372887 0.783514 0.000000
-1.728114 0.743324 0.000000
-0.725818 0.677348 0.000000
-2.211143 0.548448 0.000000
-0.421571 0.633500 0.291874
-0.327229 0.706291 0.436786
-0.424974 0.763989 0.291000
-1.225080 0.804903 0.000000
-0.551246 0.832180 0.226168
-0.184990 0.849587 0.530197
-1.303248 0.861522 0.000000
-1.136192 0.873253 0.000000
-0.538906 0.887549 0.234217
-0.881079 0.863870 0.000000
-0.664795 0.849960 0.000000
-0.483762 0.838402 0.262761
-0.462054 0.820006 0.273978
-0.545860 0.787745 0.229095
-0.600854 0.741683 0.204672
-1.058049 0.676215 0.000000
-0.890697 0.594395 0.000000
-1.079289 0.543940 0.000000
-1.410088 0.639273 0.000000
-1.663739 0.715098 0.000000
-0.846430 0.766246 0.000000
-0.941174 0.789715 0.000000
-1.507730 0.779191 0.000000
-1.003700 0.737643 0.000000
-1.094612 0.667963 0.000000
-0.717080 0.578027 0.000000
-0.627012 0.726055 0.190868
-0.530008 0.832773 0.237686
-0.451991 0.904271 0.277055
-0.374528 0.935822 0.369403
-0.320384 0.904661 0.446692
-0.273834 0.834492 0.469086
-0.254210 0.724961 0.480614
-0.262269 0.581445 0.475727
-0.248096 0.676737 0.486442
-0.239805 0.752758 0.489943
-0.262392 0.800804 0.475693
-0.304324 0.809716 0.454081
-0.357311 0.786114 0.397323
-0.455422 0.720274 0.276054
-0.634755 0.632011 0.186920
-0.754534 0.525698 0.000000
-0.847062 0.620671 0.000000
-1.181716 0.704072 0.000000
-1.083893 0.759693 0.000000
-1.059808 0.775335 0.000000
-0.917683 0.760407 0.000000
-0.848091 0.715424 0.000000
-0.692208 0.643508 0.000000
-2.696180 0.497009 0.000000
-0.807073 0.591625 0.000000
-1.248203 0.673984 0.000000
-0.256540 0.738749 0.479827
-0.103410 0.784845 0.550374
-0.704289 0.815351 0.000000
-0.725110 0.834705 0.000000
-0.037766 0.850286 0.577402
-0.912818 0.861429 0.000000
-0.514182 0.876903 0.243694
-0.638890 0.851709 0.185666
-0.318693 0.836618 0.450119
-0.845934 0.824525 0.000000
-2.975565 0.804451 0.000000
-1.261043 0.772841 0.000000
-0.608054 0.719669 0.201512
-0.528977 0.649426 0.238137
-1.093744 0.561640 0.000000
-0.889116 0.459749 0.000000
-0.982383 0.610167 0.000000
-0.856998 0.690856 0.000000
-1.516252 0.748006 0.000000
-0.816013 0.771189 0.000000
-0.765172 0.759255 0.000000
-0.714866 0.714712 0.000000
-0.637597 0.642118 0.185824
-0.545767 0.545208 0.229101
-0.451267 0.704048 0.277152
-0.412781 0.813522 0.298743
-0.271246 0.900849 0.469371
-0.212829 0.925118 0.514354
-0.162117 0.901247 0.539882
-0.124146 0.815052 0.546946
-0.125219 0.699009 0.546839
-0.111236 0.547416 0.550072
-0.110575 0.647515 0.550130
-0.105441 0.730175 0.550345
-0.130174 0.782809 0.545924
-0.170808 0.791420 0.536663
-0.226521 0.767249 0.505602
-0.327415 0.696552 0.436720
-0.520078 0.600291 0.238787
-0.621375 0.489979 0.192906
-0.722977 0.591985 0.000000
-0.784399 0.679199 0.000000
-0.822090 0.738544 0.000000
-0.830017 0.755828 0.000000
-1.003806 0.739266 0.000000
-1.012464 0.691157 0.000000
-0.917290 0.614362 0.000000
-0.489889 0.456020 0.252870
-0.800975 0.558360 0.000000
-0.412163 0.646664 0.299316
-0.720201 0.716170 0.000000
-0.086293 0.765922 0.557202
-0.164815 0.798732 0.539193
-0.163388 0.822927 0.539557
-0.075979 0.834398 0.563433
-0.199520 0.849422 0.525972
-0.219755 0.866355 0.511116
-0.459343 0.834309 0.274827
-0.503855 0.818199 0.248100
-0.338517 0.802807 0.428809
-0.966718 0.783186 0.000000
-0.995282 0.749989 0.000000
-0.996672 0.699628 0.000000
-0.483400 0.626474 0.263252
-0.507212 0.535968 0.248100
-1.202783 0.481309 0.000000
-0.983416 0.585226 0.000000
-1.510978 0.668118 0.000000
-0.752311 0.725393 0.000000
-0.708799 0.749777 0.000000
-0.649650 0.742658 0.179129
-0.541654 0.693371 0.231734
-0.462924 0.618356 0.273706
-0.357295 0.518654 0.397353
-0.303561 0.675393 0.454198
-0.235733 0.789351 0.493311
-0.130904 0.878997 0.545774
-0.067969 0.903008 0.566216
-0.033371 0.879801 0.578216
-0.001197 0.788654 0.590666
0.004282 0.674959 0.591664
0.009023 0.519272 0.592757
0.007372 0.622794 0.592168
-0.003406 0.704988 0.590244
-0.025537 0.760503 0.580505
-0.066647 0.770127 0.566826
-0.125288 0.744108 0.546832
-0.199457 0.670428 0.526011
-0.359804 0.575257 0.392447
-0.505124 0.460436 0.248100
-0.596243 0.567028 0.206556
-0.656361 0.667052 0.066394
-0.685188 0.717708 0.000000
-0.688310 0.735451 0.000000
-0.644971 0.718339 0.184283
-0.605250 0.669209 0.202968
-1.757946 0.589049 0.000000
