pygeostat_saved_data
3
Estimate
EstimationVariance
Back Transform
-3.173667 1.234845 0.000000
-2.299361 1.260900 0.000000
-2.264375 1.263619 0.000000
-1.794763 1.243607 0.000000
-1.967647 1.187570 0.000000
-1.679434 1.100797 0.000000
-1.457546 0.980421 0.000000
-2.245159 0.836945 0.000000
-1.498734 0.741663 0.000000
-1.294615 0.794672 0.000000
-1.200736 0.828758 0.000000
-1.371464 0.840245 0.000000
-1.412521 0.828424 0.000000
-1.450172 0.789667 0.000000
-0.728762 0.728873 0.000000
-1.707043 0.652904 0.000000
-0.813905 0.574835 0.000000
-0.836748 0.657951 0.000000
-0.780866 0.726971 0.000000
-0.861350 0.771618 0.000000
-0.614406 0.786707 0.197120
-1.044339 0.772790 0.000000
-0.439748 0.723081 0.278129
-0.382632 0.655464 0.325589
-0.315611 0.593044 0.451827
-0.292837 0.684548 0.464426
-0.292269 0.755832 0.464449
-0.309761 0.807578 0.453757
-0.345927 0.827632 0.388770
-0.408340 0.807765 0.301963
-0.451077 0.759000 0.273896
-0.517953 0.686168 0.245894
-0.615110 0.597775 0.196596
-0.704251 0.672651 0.000000
-0.824304 0.744309 0.000000
-1.727976 0.791948 0.000000
-1.750036 0.811797 0.000000
-1.452211 0.796102 0.000000
-1.882471 0.754154 0.000000
-0.993455 0.688028 0.000000
-2.518196 0.624383 0.000000
-0.803742 0.734962 0.000000
-0.785643 0.832919 0.000000
-0.940767 0.911565 0.000000
-1.771060 0.967543 0.000000
-1.135102 1.001765 0.000000
-0.764193 1.017714 0.000000
-1.864628 1.021488 0.000000
-1.627449 1.013618 0.000000
-1.049191 1.008001 0.000000
-2.035325 1.262771 0.000000
-1.892083 1.303239 0.000000
-1.760026 1.289979 0.000000
-1.684115 1.265189 0.000000
-1.685476 1.204587 0.000000
-1.499282 1.107561 0.000000
-1.822528 0.973879 0.000000
-1.604433 0.813974 0.000000
-1.643892 0.713191 0.000000
-1.796944 0.773479 0.000000
-1.860995 0.811620 0.000000
