pygeostat_saved_data
3
Estimate
EstimationVariance
Back Transform
-0.173762 0.119207 -0.173762
-0.203366 0.102074 -0.203366
-0.235061 0.083748 -0.235061
-0.298187 0.074073 -0.298187
-0.394170 0.086168 -0.394170
-0.507794 0.122642 -0.507794
-0.679301 0.220351 -0.679301
-0.845367 0.319337 -0.845367
-1.031018 0.432060 -1.031018
-0.606654 0.287089 -0.606654
-0.435170 0.182329 -0.435170
-0.283528 0.095646 -0.283528
-0.163118 0.042952 -0.163118
-0.069017 0.025269 -0.069017
-0.023601 0.036116 -0.023601
-0.009475 0.063152 -0.009475
-0.011371 0.090488 -0.011371
-0.044146 0.116806 -0.044146
-0.074573 0.135373 -0.074573
-0.059136 0.123119 -0.059136
-0.088785 0.124199 -0.088785
0.073711 0.113910 0.073711
0.097084 0.124177 0.097084
0.185020 0.123099 0.185020
0.239407 0.135314 0.239407
0.320261 0.116743 0.320261
0.399564 0.090432 0.399564
0.468984 0.063090 0.468984
0.503502 0.036067 0.503502
0.531122 0.025250 0.531122
0.592456 0.034249 0.592456
0.646316 0.054266 0.646316
0.667111 0.076047 0.667111
0.674979 0.088754 0.674979
0.634903 0.092723 0.634903
0.590052 0.087471 0.590052
0.507805 0.080305 0.507805
0.435746 0.080473 0.435746
0.298419 0.088823 0.298419
0.248274 0.102832 0.248274
0.188046 0.115232 0.188046
0.124796 0.120345 0.124796
0.062100 0.115840 0.062100
0.008622 0.102814 0.008622
-0.040494 0.089329 -0.040494
-0.090988 0.083661 -0.090988
-0.062474 0.084913 -0.062474
-0.025827 0.094758 -0.025827
0.004545 0.103024 0.004545
0.008735 0.102805 0.008735
0.003735 0.092618 0.003735
-0.022476 0.074395 -0.022476
-0.062801 0.055556 -0.062801
-0.139172 0.045703 -0.139172
-0.251422 0.058120 -0.251422
-0.382959 0.095669 -0.382959
-0.573082 0.194458 -0.573082
-0.759968 0.295986 -0.759968
-0.964609 0.414714 -0.964609
-0.525425 0.302848 -0.525425
-0.349100 0.200403 -0.349100
-0.191253 0.113779 -0.191253
-0.065079 0.063543 -0.065079
0.034648 0.046758 0.034648
0.085578 0.057052 0.085578
0.110189 0.082518 0.110189
0.117766 0.108282 0.117766
0.094959 0.132304 0.094959
0.074574 0.148406 0.074574
0.098030 0.136459 0.098030
0.076375 0.136041 0.076375
0.236386 0.126231 0.236386
0.271927 0.136701 0.271927
0.357306 0.136458 0.357306
0.412883 0.148381 0.412883
0.489067 0.132255 0.489067
0.560734 0.108197 0.560734
0.617831 0.082401 0.617831
0.637154 0.056897 0.637154
0.652265 0.046592 0.652265
0.697493 0.055278 0.697493
0.736608 0.074626 0.736608
0.744957 0.095453 0.744957
0.742019 0.107400 0.742019
0.694499 0.110584 0.694499
0.645284 0.104675 0.645284
0.562512 0.096968 0.562512
0.494796 0.096525 0.494796
0.365053 0.104622 0.365053
0.321105 0.118508 0.321105
0.270027 0.130814 0.270027
0.218026 0.135931 0.218026
0.167375 0.131369 0.167375
0.128208 0.118493 0.128208
0.092428 0.105035 0.092428
0.054272 0.099332 0.054272
0.093675 0.101058 0.093675
0.139504 0.111226 0.139504
0.175118 0.119790 0.175118
0.180254 0.120152 0.180254
0.171529 0.110462 0.171529
0.136340 0.092940 0.136340
0.083537 0.074622 0.083537
-0.009178 0.065200 -0.009178
-0.139541 0.077298 -0.139541
-0.289927 0.114017 -0.289927
-0.496850 0.207615 -0.496850
-0.703280 0.306187 -0.703280
-0.924278 0.426747 -0.924278
-0.473169 0.338018 -0.473169
-0.293497 0.240741 -0.293497
-0.130119 0.155742 -0.130119
0.003485 0.109992 0.003485
0.107818 0.094754 0.107818
0.168112 0.103984 0.168112
0.204184 0.126701 0.204184
0.224262 0.149640 0.224262
0.214956 0.169851 0.214956
0.207656 0.181988 0.207656
0.239780 0.170545 0.239780
0.227856 0.167922 0.227856
0.333933 0.165210 0.333933
0.420946 0.168610 0.420946
0.505789 0.170523 0.505789
0.560244 0.181932 0.560244
0.627859 0.169707 0.627859
0.688006 0.149419 0.688006
0.729004 0.126398 0.729004
0.732629 0.103545 0.732629
0.720080 0.094240 0.720080
0.742641 0.102282 0.742641
0.783327 0.120277 0.783327
0.779809 0.139286 0.779809
0.767715 0.149866 0.767715
0.716242 0.151779 0.716242
0.666363 0.145031 0.666363
0.587953 0.136626 0.587953
0.529323 0.135306 0.529323
0.419333 0.143739 0.419333
0.378333 0.156296 0.378333
0.339073 0.168245 0.339073
0.300775 0.173251 0.300775
0.265249 0.168684 0.265249
0.240888 0.156263 0.240888
0.215994 0.143861 0.215994
0.193880 0.137458 0.193880
0.241773 0.139845 0.241773
0.293658 0.150313 0.293658
0.330815 0.159201 0.330815
0.333313 0.160380 0.333313
0.317017 0.151635 0.317017
0.269137 0.135455 0.269137
0.200545 0.118279 0.200545
0.089204 0.109687 0.089204
-0.059331 0.121131 -0.059331
-0.229216 0.156016 -0.229216
-0.450138 0.240446 -0.450138
-0.673721 0.332904 -0.673721
-0.907595 0.454120 -0.907595
-0.447341 0.370186 -0.447341
-0.265480 0.277636 -0.265480
-0.097039 0.193209 -0.097039
0.042702 0.152197 0.042702
0.153870 0.138631 0.153870
0.225321 0.146677 0.225321
0.275150 0.166336 0.275150
0.310115 0.186093 0.310115
0.316945 0.201898 0.316945
0.324840 0.209266 0.324840
0.365516 0.198089 0.365516
0.364090 0.192668 0.364090
0.461843 0.189132 0.461843
0.547452 0.193325 0.547452
0.628407 0.198000 0.628407
0.679077 0.209108 0.679077
0.734410 0.201553 0.734410
0.779550 0.185647 0.779550
0.798584 0.165746 0.798584
0.755603 0.145819 0.755603
0.733321 0.137607 0.733321
0.760300 0.144965 0.760300
0.788375 0.161530 0.788375
0.774968 0.178550 0.774968
0.755987 0.187556 0.755987
0.704252 0.187847 0.704252
0.657481 0.179865 0.657481
0.587928 0.170490 0.587928
0.542621 0.168057 0.542621
0.450945 0.175647 0.450945
0.421897 0.188121 0.421897
0.396582 0.199832 0.396582
0.373801 0.204762 0.373801
0.354849 0.200137 0.354849
0.345869 0.188062 0.345869
0.335684 0.175586 0.335684
0.325403 0.169420 0.325403
0.379017 0.172668 0.379017
0.433526 0.183691 0.433526
0.468442 0.193179 0.468442
0.464813 0.195363 0.464813
0.437545 0.187697 0.437545
0.374055 0.172918 0.374055
0.287434 0.156933 0.287434
0.155384 0.149268 0.155384
-0.010420 0.160114 -0.010420
-0.197892 0.193344 -0.197892
-0.429216 0.267924 -0.429216
-0.666582 0.354249 -0.666582
-0.909328 0.478482 -0.909328
-0.443464 0.381222 -0.443464
-0.260144 0.290294 -0.260144
-0.086886 0.203468 -0.086886
0.059281 0.165917 0.059281
0.178166 0.153638 0.178166
0.263217 0.160939 0.263217
0.327228 0.177893 0.327228
0.378513 0.194985 0.378513
0.402868 0.206745 0.402868
0.426841 0.209384 0.426841
0.475038 0.197936 0.475038
0.483751 0.189402 0.483751
0.569490 0.184889 0.569490
0.645614 0.189300 0.645614
0.724253 0.197765 0.724253
0.768359 0.209101 0.768359
0.808268 0.206184 0.808268
0.817771 0.194331 0.817771
0.788286 0.177047 0.788286
0.744171 0.161552 0.744171
0.731617 0.152174 0.731617
0.763629 0.159009 0.763629
0.755538 0.175120 0.755538
0.736260 0.190088 0.736260
0.712987 0.197695 0.712987
0.664696 0.196220 0.664696
0.620052 0.186687 0.620052
0.567255 0.175885 0.567255
0.538600 0.172195 0.538600
0.468923 0.179164 0.468923
0.453709 0.191962 0.453709
0.443775 0.203849 0.443775
0.437538 0.208858 0.437538
0.435720 0.204045 0.435720
0.441800 0.191901 0.441800
0.445552 0.178945 0.445552
0.445883 0.172821 0.445883
0.502396 0.177088 0.502396
0.556181 0.189086 0.556181
0.586121 0.199598 0.586121
0.572808 0.202868 0.572808
0.532130 0.196119 0.532130
0.451423 0.182295 0.451423
0.346027 0.167058 0.346027
0.190369 0.160884 0.190369
0.012514 0.170757 0.012514
-0.190025 0.203456 -0.190025
-0.437559 0.270308 -0.437559
-0.674743 0.353249 -0.674743
-0.922239 0.485216 -0.922239
