4.749999999999999778e-01,1.924306140373239771e+00,1.214953124999998968e+00,1.031090317969499015e+00,7.439765683789876238e-01,1.949361981594140092e+00,1.238652422430691180e+00
5.135135135135134865e-01,2.319926620040517307e+00,1.323156868749999715e+00,1.178783236125646727e+00,7.035194808111209230e-01,2.046183557382820872e+00,1.280991812937927410e+00
5.588235294117647189e-01,2.584637914854068352e+00,1.373558960416665142e+00,1.323459550517654737e+00,6.582306369419066439e-01,2.110398614932003092e+00,1.332182273211741874e+00
6.129032258064516236e-01,2.338206697791146205e+00,1.323010002083333303e+00,1.403421113316998037e+00,5.974777999488526392e-01,2.088307277895224967e+00,1.366542757885767623e+00
6.785714285714286031e-01,2.722618518273984822e+00,1.490821250000000653e+00,1.556913844909981304e+00,4.667213978611627345e-01,2.050724598648386632e+00,1.389841966623563962e+00
7.600000000000000089e-01,2.305124472174829187e+00,1.287361460416665881e+00,1.784085878577828410e+00,2.910918842579548471e-01,2.033002304238864077e+00,1.377668774002994256e+00
8.636363636363636465e-01,2.049334604536808602e+00,1.262345208333334634e+00,2.107015551549893395e+00,1.963710916336166568e-01,1.988169246444654537e+00,1.339856235214648805e+00
1.000000000000000000e+00,1.936830556880280163e+00,1.217590835416666240e+00,2.464492474941787137e+00,1.658514984475234488e-01,1.784189445665726126e+00,1.281376879034452188e+00
1.187500000000000000e+00,2.539783986697998319e+00,1.153971460416665762e+00,2.724449169130081838e+00,1.154946289408986804e-01,1.318773466643349490e+00,1.132979741765780313e+00
1.461538461538461453e+00,1.423760694258634052e+00,8.524914604166660137e-01,2.653286786702273137e+00,5.895034431595502777e-02,9.119078953021722000e-01,9.776653625883146015e-01
