pygeostat_saved_data
3
Estimate
EstimationVariance
Back Transform
-1.467201 0.136132 -1.467201
-1.681908 0.137622 -1.681908
-1.722674 0.148742 -1.722674
-1.683815 0.191751 -1.683815
-1.338802 0.258311 -1.338802
-1.481138 0.355947 -1.481138
-2.121305 0.456185 -2.121305
-1.771324 1.000000 -1.771324
-2.062427 1.000000 -2.062427
-2.188020 1.000000 -2.188020
-1.672883 0.999999 -1.672883
-2.562252 0.999997 -2.562252
-2.324240 0.999993 -2.324240
-1.598737 0.999975 -1.598737
-1.498962 0.999937 -1.498962
-1.402136 0.999852 -1.402136
-1.305511 0.999664 -1.305511
-1.216648 0.999266 -1.216648
-1.132682 0.998462 -1.132682
-1.051015 0.996901 -1.051015
-0.971812 0.994004 -0.971812
-0.891729 0.988852 -0.891729
-0.806144 0.980093 -0.806144
-0.718864 0.965863 -0.718864
-0.626849 0.943790 -0.626849
-0.529486 0.911151 -0.529486
-0.427012 0.865198 -0.427012
-0.321327 0.803745 -0.321327
-0.211038 0.725839 -0.211038
-0.103172 0.632616 -0.103172
0.005845 0.527713 0.005845
0.105641 0.417479 0.105641
0.198350 0.310303 0.198350
0.276846 0.215363 0.276846
0.367959 0.134631 0.367959
0.406504 0.089096 0.406504
0.413609 0.072496 0.413609
0.400599 0.071078 0.400599
0.368429 0.080653 0.368429
0.330972 0.092043 0.330972
0.270252 0.098602 0.270252
0.191141 0.097196 0.191141
0.115922 0.089228 0.115922
0.036589 0.079246 0.036589
-0.042904 0.072523 -0.042904
-0.115290 0.072514 -0.115290
-0.180853 0.079205 -0.180853
-0.241870 0.084283 -0.241870
-0.284360 0.088883 -0.284360
-0.320537 0.088406 -0.320537
-0.350120 0.082899 -0.350120
-0.354955 0.077081 -0.354955
-0.385086 0.070058 -0.385086
-0.410852 0.070055 -0.410852
-0.449897 0.075196 -0.449897
-0.479197 0.082684 -0.479197
-0.491177 0.088125 -0.491177
-0.495678 0.088908 -0.495678
-0.500955 0.084047 -0.500955
-0.489213 0.077240 -0.489213
-0.461742 0.072700 -0.461742
-0.423326 0.073002 -0.423326
-0.396821 0.078554 -0.396821
-0.352423 0.086447 -0.352423
-0.305094 0.092487 -0.305094
-0.255593 0.093746 -0.255593
-0.200278 0.090033 -0.200278
-0.137006 0.084089 -0.137006
-0.060244 0.080362 -0.060244
0.009746 0.081243 0.009746
0.080632 0.087338 0.080632
0.148138 0.096150 0.148138
0.222458 0.103323 0.222458
0.303766 0.106084 0.303766
0.357880 0.103712 0.357880
0.416437 0.098854 0.416437
0.471249 0.095557 0.471249
0.504332 0.095521 0.504332
0.515789 0.098894 0.515789
0.523687 0.104068 0.523687
0.509559 0.106935 0.509559
0.463952 0.105057 0.463952
0.419429 0.098597 0.419429
0.384282 0.090464 0.384282
0.331381 0.084746 0.331381
0.256927 0.083446 0.256927
0.177028 0.087020 0.177028
0.097257 0.092388 0.097257
0.004979 0.095611 0.004979
-0.084491 0.093936 -0.084491
-0.176549 0.087737 -0.176549
-0.280002 0.079865 -0.280002
-0.379514 0.074486 -0.379514
-0.495356 0.074220 -0.495356
-0.615726 0.080722 -0.615726
-0.731260 0.090438 -0.731260
-0.853904 0.098093 -0.853904
-0.984889 0.099160 -0.984889
-1.120938 0.092364 -1.120938
-1.248532 0.080694 -1.248532
-1.633368 0.066622 -1.633368
-1.284295 0.068168 -1.284295
-1.644683 0.089316 -1.644683
-2.237124 0.135087 -2.237124
-1.394908 0.215682 -1.394908
-1.704267 0.310671 -1.704267
-1.374707 0.417852 -1.374707
-1.800095 1.000000 -1.800095
-2.160522 1.000000 -2.160522
-1.834821 1.000000 -1.834821
