pygeostat_saved_data
3
Estimate
EstimationVariance
Back Transform
-3.085630 1.000000 -3.085630
-2.319512 1.000000 -2.319512
-2.287989 1.000000 -2.287989
-1.934272 0.999999 -1.934272
-2.097990 0.999998 -2.097990
-2.021855 0.999994 -2.021855
-1.888282 0.999979 -1.888282
-2.561739 0.999948 -2.561739
-1.992355 0.999878 -1.992355
-1.891433 0.999722 -1.891433
-1.880320 0.999394 -1.880320
-2.087302 0.998705 -2.087302
-2.202216 0.997392 -2.202216
-2.295615 0.994952 -2.295615
-1.802443 0.990615 -1.802443
-2.609986 0.983241 -2.609986
-1.686817 0.971257 -1.686817
-1.524150 0.952675 -1.524150
-1.351549 0.925188 -1.351549
-1.179480 0.886488 -1.179480
-1.015930 0.834721 -1.015930
-0.855856 0.769102 -0.855856
-0.699552 0.690539 -0.699552
-0.543307 0.602102 -0.543307
-0.415186 0.515995 -0.415186
-0.276574 0.427038 -0.276574
-0.148380 0.348271 -0.148380
-0.011024 0.281581 -0.011024
0.073226 0.243755 0.073226
0.142124 0.226343 0.142124
0.200740 0.225111 0.200740
0.237952 0.233062 0.237952
0.245979 0.242644 0.245979
0.235851 0.248021 0.235851
0.211408 0.246612 0.211408
0.174381 0.239511 0.174381
0.128368 0.230307 0.128368
0.070369 0.224559 0.070369
0.011443 0.224556 0.011443
-0.052202 0.228785 -0.052202
-0.110393 0.235529 -0.110393
-0.163285 0.240021 -0.163285
-0.211235 0.240062 -0.211235
-0.255327 0.235646 -0.255327
-0.296322 0.228959 -0.296322
-0.327438 0.224758 -0.327438
-0.366650 0.224741 -0.366650
-0.419780 0.228908 -0.419780
-0.456809 0.235646 -0.456809
-0.484884 0.240141 -0.484884
-0.500100 0.240196 -0.500100
-0.506185 0.235812 -0.506185
-0.501924 0.229167 -0.501924
-0.479529 0.225010 -0.479529
-0.448173 0.225009 -0.448173
-0.422806 0.229137 -0.422806
-0.384580 0.235835 -0.384580
-0.333974 0.240205 -0.333974
-0.279055 0.240147 -0.279055
-0.218355 0.235653 -0.218355
-0.147228 0.228926 -0.147228
-0.086025 0.224753 -0.086025
-0.025530 0.224779 -0.025530
0.025809 0.229032 0.025809
0.062040 0.235740 0.062040
0.096487 0.240184 0.096487
0.130570 0.240176 0.130570
0.162260 0.235695 0.162260
0.199482 0.228912 0.199482
0.221196 0.224767 0.221196
0.228227 0.224763 0.228227
0.219282 0.228986 0.219282
0.209336 0.235749 0.209336
0.201974 0.240251 0.201974
0.184370 0.240285 0.184370
0.166506 0.235859 0.166506
0.145971 0.229181 0.145971
0.118958 0.224973 0.118958
0.091312 0.224960 0.091312
0.042410 0.229137 0.042410
-0.006827 0.235794 -0.006827
-0.063842 0.240211 -0.063842
-0.132570 0.240172 -0.132570
-0.209123 0.235705 -0.209123
-0.301321 0.228902 -0.301321
-0.374158 0.224737 -0.374158
-0.468818 0.224748 -0.468818
-0.573561 0.230471 -0.573561
-0.688283 0.239696 -0.688283
-0.793825 0.246790 -0.793825
-0.908023 0.248231 -0.908023
-1.029826 0.242850 -1.029826
-1.176798 0.233280 -1.176798
-1.339568 0.225359 -1.339568
-1.478373 0.226661 -1.478373
-1.963846 0.244059 -1.963846
-2.000365 0.281909 -2.000365
-1.546826 0.348595 -1.546826
-2.159559 0.427333 -2.159559
-1.825318 0.516250 -1.825318
-1.947376 1.000000 -1.947376
-1.770272 1.000000 -1.770272
-2.166612 1.000000 -2.166612
-3.962957 0.999999 -3.962957
-2.453873 0.999997 -2.453873
-1.896483 0.999993 -1.896483
-1.800162 0.999976 -1.800162
-2.189310 0.999942 -2.189310
-1.973837 0.999863 -1.973837
-1.971293 0.999689 -1.971293
-1.835105 0.999322 -1.835105
-2.285786 0.998562 -2.285786
-1.939438 0.997103 -1.939438
-2.098309 0.994393 -2.098309
-1.928306 0.989577 -1.928306
-1.673175 0.981385 -1.673175
-1.516328 0.968077 -1.516328
-1.348041 0.947435 -1.348041
-1.183547 0.916910 -1.183547
-1.021877 0.873947 -1.021877
-0.866521 0.816474 -0.866521
-0.712054 0.743635 -0.712054
-0.558603 0.656446 -0.558603
-0.406126 0.558334 -0.406126
-0.262116 0.455213 -0.262116
-0.128675 0.354931 -0.128675
-0.018540 0.272914 -0.018540
0.087331 0.203919 0.087331
0.180028 0.156233 0.180028
0.231159 0.136920 0.231159
0.274384 0.135594 0.274384
0.292904 0.144425 0.292904
0.284953 0.155046 0.284953
0.253351 0.160975 0.253351
0.209858 0.159349 0.209858
0.160982 0.151028 0.160982
0.095196 0.141415 0.095196
0.025444 0.135005 0.025444
-0.043358 0.135004 -0.043358
-0.113810 0.139646 -0.113810
-0.174850 0.146880 -0.174850
-0.231591 0.151771 -0.231591
-0.277392 0.151812 -0.277392
-0.317550 0.146999 -0.317550
-0.358318 0.139812 -0.358318
-0.379160 0.135196 -0.379160
-0.414242 0.135182 -0.414242
-0.460251 0.139784 -0.460251
-0.495561 0.147006 -0.495561
-0.518068 0.151893 -0.518068
-0.527602 0.151954 -0.527602
