pygeostat_saved_data
3
Estimate
EstimationVariance
Back Transform
-2.914983 1.000000 -2.914983
-2.132007 1.000000 -2.132007
-2.099315 1.000000 -2.099315
-1.718143 0.999999 -1.718143
-1.894707 0.999998 -1.894707
-1.816210 0.999994 -1.816210
-1.670473 0.999979 -1.670473
-2.384213 0.999949 -2.384213
-1.783421 0.999880 -1.783421
-1.674103 0.999722 -1.674103
-1.662488 0.999393 -1.662488
-1.884332 0.998726 -1.884332
-2.005268 0.997435 -2.005268
-2.109397 0.995035 -2.109397
-1.578053 0.990769 -1.578053
-2.441562 0.983515 -2.441562
-1.663284 0.971727 -1.663284
-1.683991 0.953439 -1.683991
-1.768806 0.926385 -1.768806
-1.231962 0.888268 -1.231962
-1.015834 0.837292 -1.015834
-0.830913 0.772656 -0.830913
-0.675474 0.695230 -0.675474
-0.531060 0.608053 -0.531060
-0.395115 0.516331 -0.395115
-0.279878 0.427015 -0.279878
-0.163392 0.349881 -0.163392
-0.091618 0.291541 -0.091618
-0.031863 0.253669 -0.031863
0.009524 0.236024 0.009524
0.036557 0.234167 0.036557
0.050602 0.241610 0.050602
0.049219 0.250749 0.049219
0.041136 0.255973 0.041136
0.019868 0.254048 0.019868
-0.012679 0.247346 -0.012679
-0.048017 0.239047 -0.048017
-0.091528 0.233336 -0.091528
-0.131767 0.232773 -0.131767
-0.173546 0.236256 -0.173546
-0.204537 0.241658 -0.204537
-0.236981 0.244678 -0.236981
-0.268656 0.243238 -0.268656
-0.294867 0.237512 -0.294867
-0.325508 0.229878 -0.325508
-0.342164 0.225161 -0.342164
-0.374847 0.225152 -0.374847
-0.425520 0.229856 -0.425520
-0.457767 0.237494 -0.457767
-0.471359 0.243184 -0.471359
-0.486553 0.244613 -0.486553
-0.497873 0.240999 -0.497873
-0.498640 0.236108 -0.498640
-0.473361 0.232469 -0.473361
-0.448503 0.232463 -0.448503
-0.419470 0.236215 -0.419470
-0.380022 0.241934 -0.380022
-0.333977 0.245279 -0.333977
-0.278567 0.244243 -0.278567
-0.219527 0.238959 -0.219527
-0.158082 0.231642 -0.158082
-0.088958 0.226911 -0.088958
-0.022650 0.226642 -0.022650
0.040886 0.230724 0.040886
0.107354 0.236601 0.107354
0.155427 0.241427 0.155427
0.203710 0.241240 0.203710
0.267767 0.236125 0.267767
0.308590 0.229893 0.308590
0.346846 0.225500 0.346846
0.365123 0.225479 0.365123
0.367826 0.229839 0.367826
0.360266 0.236588 0.360266
0.340184 0.241166 0.340184
0.303337 0.241368 0.303337
0.258226 0.237162 0.258226
0.191547 0.230684 0.191547
0.138937 0.226743 0.138937
0.063068 0.226742 0.063068
-0.023967 0.230663 -0.023967
-0.093443 0.237075 -0.093443
-0.180487 0.241151 -0.180487
-0.267961 0.240777 -0.267961
-0.360770 0.235992 -0.360770
-0.461263 0.229075 -0.461263
-0.557881 0.224736 -0.557881
-0.666520 0.224745 -0.666520
-0.782931 0.230584 -0.782931
-0.890694 0.239325 -0.890694
-1.009362 0.246586 -1.009362
-1.147963 0.249136 -1.147963
-1.283268 0.244208 -1.283268
-2.124659 0.235058 -2.124659
-1.399246 0.227559 -1.399246
-1.339451 0.229095 -1.339451
-1.871151 0.246686 -1.871151
-1.917002 0.284577 -1.917002
-1.391061 0.343209 -1.391061
-2.077806 0.421244 -2.077806
-1.720147 0.511334 -1.720147
-1.732370 1.000000 -1.732370
-1.535534 1.000000 -1.535534
-1.967775 1.000000 -1.967775
-3.820343 0.999999 -3.820343
-2.274353 0.999997 -2.274353
-1.679475 0.999993 -1.679475
-1.569643 0.999977 -1.569643
-1.992010 0.999943 -1.992010
-1.762173 0.999865 -1.762173
-1.759592 0.999691 -1.759592
-1.608977 0.999325 -1.608977
-2.099367 0.998585 -2.099367
-1.725882 0.997150 -1.725882
-1.898526 0.994484 -1.898526
-1.716475 0.989745 -1.716475
-1.982708 0.981684 -1.982708
-1.740300 0.968589 -1.740300
-1.425386 0.948273 -1.425386
-1.202996 0.918227 -1.202996
-0.998464 0.875916 -0.998464
-0.823483 0.819320 -0.823483
-0.666231 0.747535 -0.666231
-0.520611 0.661592 -0.520611
-0.384281 0.564903 -0.384281
-0.266844 0.463173 -0.266844
-0.163521 0.364157 -0.163521
-0.049071 0.267621 -0.049071
0.008234 0.209227 0.008234
0.056817 0.167101 0.056817
0.097755 0.147454 0.097755
0.100695 0.145497 0.100695
0.102630 0.153724 0.102630
0.086088 0.163908 0.086088
0.062104 0.169647 0.062104
0.020378 0.167713 0.020378
-0.023560 0.160231 -0.023560
-0.076385 0.150940 -0.076385
-0.127494 0.144586 -0.127494
-0.177058 0.144202 -0.177058
-0.226661 0.147814 -0.226661
-0.262949 0.153202 -0.262949
-0.298159 0.156852 -0.298159
-0.329436 0.155278 -0.329436
-0.356812 0.148595 -0.356812
-0.385870 0.140837 -0.385870
-0.400327 0.135608 -0.400327
-0.430170 0.135600 -0.430170
-0.477689 0.140793 -0.477689
-0.509617 0.148581 -0.509617
-0.521895 0.155221 -0.521895
-0.526223 0.156777 -0.526223
-0.531667 0.153074 -0.531667
-0.525112 0.147658 -0.525112
-0.497476 0.143890 -0.497476
-0.462223 0.143941 -0.462223
-0.431176 0.147830 -0.431176
-0.383677 0.153505 -0.383677
-0.334679 0.157524 -0.334679
-0.274649 0.156387 -0.274649
-0.206477 0.150162 -0.206477
-0.140269 0.142782 -0.140269
-0.062979 0.137752 -0.062979
0.012804 0.137493 0.012804
0.077495 0.141766 0.077495
0.149693 0.148206 0.149693
0.205107 0.153224 0.205107
0.263415 0.152973 0.263415
0.332720 0.147518 0.332720
0.382194 0.140664 0.382194
0.435292 0.135960 0.435292
0.461858 0.135952 0.461858
0.473993 0.140583 0.473993
0.473367 0.147438 0.473367
0.461967 0.152884 0.461967
0.426422 0.153142 0.426422
0.383927 0.148166 0.383927
0.331456 0.141703 0.331456
0.285383 0.137341 0.285383
0.209045 0.137345 0.209045
0.115499 0.141695 0.115499
0.037920 0.148542 0.037920
-0.048669 0.152980 -0.048669
-0.141718 0.152566 -0.141718
-0.243600 0.146910 -0.243600
-0.345907 0.139897 -0.345907
-0.439612 0.135144 -0.439612
-0.556124 0.135157 -0.556124
-0.665446 0.141670 -0.665446
-0.774112 0.151444 -0.774112
-0.882557 0.159523 -0.882557
-1.011503 0.162124 -1.011503
-1.145108 0.156678 -1.145108
-1.274685 0.146518 -1.274685
-1.516477 0.138157 -1.516477
-1.734436 0.139857 -1.734436
-1.793240 0.159323 -1.793240
-1.744744 0.193943 -1.744744
-1.422076 0.269054 -1.422076
-1.512730 0.357612 -1.512730
-2.152566 0.457505 -2.152566
-1.673734 1.000000 -1.673734
-1.972538 1.000000 -1.972538
-2.101581 1.000000 -2.101581
-1.570851 0.999999 -1.570851
-2.482191 0.999997 -2.482191
-2.239649 0.999993 -2.239649
-1.969098 0.999975 -1.969098
-2.014049 0.999938 -2.014049
-1.542681 0.999854 -1.542681
-1.730686 0.999668 -1.730686
-1.542872 0.999276 -1.542872
-1.689936 0.998483 -1.689936
-2.849357 0.996945 -2.849357
-1.603027 0.994087 -1.603027
-2.793984 0.989007 -2.793984
-1.555584 0.980370 -1.555584
-1.388907 0.966336 -1.388907
-1.170577 0.944560 -1.170577
-0.981000 0.912360 -0.981000
-0.812654 0.867041 -0.812654
-0.659777 0.806413 -0.659777
-0.517413 0.729564 -0.517413
-0.385340 0.637508 -0.385340
-0.265929 0.533949 -0.265929
-0.160861 0.425068 -0.160861
-0.063451 0.319103 -0.063451
0.015768 0.225155 0.015768
0.098566 0.145331 0.098566
0.146772 0.099979 0.146772
0.157119 0.082951 0.157119
0.147596 0.080915 0.147596
0.136788 0.089767 0.136788
0.105504 0.100656 0.105504
0.057514 0.106558 0.057514
0.002412 0.104879 0.002412
-0.049703 0.096802 -0.049703
-0.112222 0.086778 -0.112222
-0.172984 0.079925 -0.172984
-0.229242 0.079529 -0.229242
-0.283116 0.083478 -0.283116
-0.329654 0.089214 -0.329654
-0.361333 0.092837 -0.361333
-0.392118 0.091220 -0.392118
-0.418222 0.084395 -0.418222
-0.444936 0.076142 -0.444936
-0.454339 0.070561 -0.454339
-0.482453 0.070551 -0.482453
-0.529405 0.076095 -0.529405
-0.556878 0.084411 -0.556878
-0.565260 0.091139 -0.565260
-0.565658 0.092766 -0.565658
-0.567436 0.089086 -0.567436
-0.554233 0.083331 -0.554233
-0.524887 0.079230 -0.524887
-0.482408 0.079276 -0.482408
-0.448541 0.083449 -0.448541
-0.400822 0.089492 -0.400822
-0.342475 0.093543 -0.342475
-0.280035 0.092362 -0.280035
-0.211563 0.086065 -0.211563
-0.135459 0.078206 -0.135459
-0.055859 0.072833 -0.055859
0.025509 0.072560 0.025509
0.101893 0.077137 0.101893
0.173764 0.083977 0.173764
0.242259 0.088991 0.242259
0.319289 0.088412 0.319289
0.381334 0.083117 0.381334
0.441408 0.075822 0.441408
0.495498 0.070768 0.495498
0.540913 0.070755 0.540913
0.566774 0.075708 0.566774
0.571799 0.083029 0.571799
0.565101 0.088595 0.565101
0.544067 0.088912 0.544067
0.514161 0.083928 0.514161
0.473939 0.077042 0.473939
0.424437 0.072377 0.424437
0.350352 0.072386 0.350352
0.258347 0.077051 0.258347
0.165639 0.083905 0.165639
0.076044 0.088808 0.076044
-0.017901 0.088353 -0.017901
-0.122624 0.082645 -0.122624
-0.227191 0.075160 -0.227191
-0.329000 0.070089 -0.329000
-0.446810 0.070101 -0.446810
-0.558773 0.077116 -0.558773
-0.664864 0.087641 -0.664864
-0.774480 0.096350 -0.774480
-0.884220 0.098575 -0.884220
-1.012506 0.093034 -1.012506
-1.148954 0.082163 -1.148954
-1.282327 0.073119 -1.282327
-1.347584 0.074905 -1.347584
-1.721395 0.091513 -1.721395
