pygeostat_saved_data
3
Estimate
EstimationVariance
Back Transform
-2.712744 1.000000 -2.712744
-1.839451 1.000000 -1.839451
-1.803150 1.000000 -1.803150
-1.374595 0.999999 -1.374595
-1.572799 0.999998 -1.572799
-1.482469 0.999994 -1.482469
-1.317187 0.999979 -1.317187
-2.118467 0.999949 -2.118467
-1.444412 0.999878 -1.444412
-1.320672 0.999724 -1.320672
-1.302650 0.999398 -1.302650
-1.552726 0.998737 -1.552726
-1.685347 0.997409 -1.685347
-1.797803 0.994986 -1.797803
-1.190171 0.990678 -1.190171
-2.146233 0.983353 -2.146233
-1.273092 0.971451 -1.273092
-1.286593 0.952990 -1.286593
-1.367810 0.925680 -1.367810
-1.274457 0.887225 -1.274457
-1.021632 0.835787 -1.021632
-1.397009 0.770573 -1.397009
-1.031608 0.692475 -1.031608
-1.063146 0.604564 -1.063146
-2.424269 0.512127 -2.424269
-0.707078 0.430475 -0.707078
-0.507553 0.344367 -0.507553
-0.319859 0.285707 -0.319859
-0.182281 0.247731 -0.182281
-0.079497 0.230013 -0.079497
-0.006877 0.228221 -0.006877
0.037053 0.235568 0.037053
0.060820 0.244563 0.060820
0.065660 0.249440 0.065660
0.056146 0.247626 0.056146
0.028837 0.239641 0.028837
-0.004785 0.230922 -0.004785
-0.035345 0.225120 -0.035345
-0.061869 0.225118 -0.061869
-0.076880 0.229371 -0.076880
-0.080788 0.236334 -0.080788
-0.073354 0.241172 -0.073354
-0.063861 0.241667 -0.063861
-0.051702 0.237759 -0.051702
-0.046536 0.231546 -0.046536
-0.023900 0.227776 -0.023900
-0.033508 0.227794 -0.033508
-0.057773 0.231575 -0.057773
-0.071047 0.237755 -0.071047
-0.090128 0.241609 -0.090128
-0.109224 0.241032 -0.109224
-0.123325 0.236111 -0.123325
-0.134814 0.229107 -0.134814
-0.129115 0.224783 -0.129115
-0.112057 0.224758 -0.112057
-0.094107 0.228961 -0.094107
-0.055721 0.235700 -0.055721
-0.016139 0.240207 -0.016139
0.027496 0.240268 0.027496
0.078512 0.235871 0.078512
0.131072 0.229187 0.131072
0.179916 0.225090 0.179916
0.232796 0.225089 0.232796
0.283185 0.229230 0.283185
0.325350 0.235864 0.325350
0.361377 0.240223 0.361377
0.394922 0.240138 0.394922
0.424891 0.235627 0.424891
0.458631 0.228876 0.458631
0.466963 0.224678 0.466963
0.483456 0.224688 0.483456
0.491989 0.228912 0.491989
0.488547 0.235621 0.488547
0.469731 0.240071 0.469731
0.440245 0.240039 0.440245
0.403445 0.235559 0.403445
0.355756 0.229113 0.355756
0.285707 0.224588 0.285707
0.218951 0.224579 0.218951
0.143523 0.228852 0.143523
0.065023 0.235627 0.065023
-0.024243 0.240028 -0.024243
-0.121687 0.240031 -0.121687
-0.226093 0.235553 -0.226093
-0.333962 0.228815 -0.333962
-0.447377 0.224668 -0.447377
-0.564592 0.224888 -0.564592
-0.680688 0.231072 -0.680688
-0.823440 0.241061 -0.823440
-0.976789 0.249213 -0.976789
-1.125353 0.251951 -1.125353
-1.538994 0.247977 -1.538994
-2.001230 0.239840 -2.001230
-1.171116 0.233154 -1.171116
-1.087758 0.235352 -1.087758
-1.678582 0.253211 -1.678582
-1.718368 0.290978 -1.718368
-1.132963 0.356802 -1.132963
-1.855350 0.434667 -1.855350
-1.433756 0.522510 -1.433756
-1.391046 1.000000 -1.391046
-1.164132 1.000000 -1.164132
-1.654011 1.000000 -1.654011
-3.769636 0.999999 -3.769636
-1.998060 0.999997 -1.998060
-1.330772 0.999993 -1.330772
-1.201317 0.999977 -1.201317
-1.677806 0.999942 -1.677806
-1.421443 0.999864 -1.421443
-1.416341 0.999691 -1.416341
-1.241376 0.999327 -1.241376
-1.790899 0.998588 -1.790899
-1.371552 0.997121 -1.371552
-1.557779 0.994429 -1.557779
-1.348077 0.989643 -1.348077
-1.641895 0.981507 -1.641895
-1.357716 0.968287 -1.357716
-1.572726 0.947782 -1.572726
-2.321399 0.917454 -2.321399
-1.546024 0.874754 -1.546024
-1.381122 0.817640 -1.381122
-1.358885 0.745251 -1.358885
-0.931653 0.658590 -0.931653
